Craigslist URL,Neighborhood,City,State,Zip Code,RentStatusLastRun,RentDateLastRun,HomeStatusLastRun,HomeDateLastRun,||,Last Rat Diff Updated,rat_1_bed,diff_1_bed,rat_2_bed,diff_2_bed,rat_3_bed,diff_3_bed,rat_4_bed,diff_4_bed,rat_5_bed,diff_5_bed,rat_6_bed,diff_6_bed,rat_1_bed_c,diff_1_bed_c,rat_2_bed_c,diff_2_bed_c,rat_3_bed_c,diff_3_bed_c,rat_4_bed_c,diff_4_bed_c,rat_5_bed_c,diff_5_bed_c,rat_6_bed_c,diff_6_bed_c,rat_1_bed_h,diff_1_bed_h,rat_2_bed_h,diff_2_bed_h,rat_3_bed_h,diff_3_bed_h,rat_4_bed_h,diff_4_bed_h,rat_5_bed_h,diff_5_bed_h,rat_6_bed_h,diff_6_bed_h,rat_1_bed_th,diff_1_bed_th,rat_2_bed_th,diff_2_bed_th,rat_3_bed_th,diff_3_bed_th,rat_4_bed_th,diff_4_bed_th,rat_5_bed_th,diff_5_bed_th,rat_6_bed_th,diff_6_bed_th
washingtondc,,Annandale,VA,22003,Successful,'2017-01-13',Successful,'2017-01-13',||,'2017-01-14',0.972,35,1.101,-154,1.223,-412,1.272,-613,1.487,-1212,0,0,0.972,35,1.096,-146,0.958,77,0,0,0,0,0,0,0,0,1.184,-280,1.254,-469,1.334,-754,1.487,-1212,0,0,0,0,0,0,1.24,-444,1.08,-180,0,0,0,0
washingtondc,,Burke,VA,22015,Successful,'2017-01-13',Successful,'2017-01-13',||,'2017-01-14',1.22,-264,0.947,89,1.162,-299,1.732,-1290,0,0,0,0,1.22,-264,0.916,141,0.983,32,0,0,0,0,0,0,0,0,0,0,1.379,-700,1.876,-1544,0,0,0,0,0,0,1.139,-235,1.146,-270,1.247,-436,0,0,0,0
washingtondc,,Dumfries,VA,22026,Successful,'2017-01-13',Successful,'2017-01-13',||,'2017-01-14',0,0,0.786,286,2.237,-742,1.243,-365,0,0,0,0,0,0,0.786,286,0,0,0,0,0,0,0,0,0,0,0,0,2.688,-1013,1.519,-778,0,0,0,0,0,0,0,0,2.152,-691,0.879,181,0,0,0,0
washingtondc,,Dunn Loring,VA,22027,Successful,'2017-01-13',Successful,'2017-01-13',||,'2017-01-14',0,0,0,0,0,0,3.63,-3419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.63,-3419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
washingtondc,,Fairfax,VA,22030,Successful,'2017-01-13',Successful,'2017-01-13',||,'2017-01-14',0.958,63,1.115,-207,1.285,-610,1.623,-1323,1.714,-1642,0,0,0.958,63,1.094,-168,1.255,-545,0,0,0,0,0,0,0,0,1.102,-183,1.129,-276,1.623,-1323,1.714,-1642,0,0,0,0,1.338,-607,1.362,-773,1.509,-1082,0,0,0,0
washingtondc,,Fairfax,VA,22031,Successful,'2017-01-13',Successful,'2017-01-13',||,'2017-01-14',0.91,145,1.4,-762,1.241,-527,2.246,-2179,0,0,0,0,0.91,145,1.471,-898,1.585,-1279,0,0,0,0,0,0,0,0,1.082,-157,1.487,-1064,2.359,-2377,0,0,0,0,0,0,1.26,-495,1.205,-449,1.488,-854,0,0,0,0
washingtondc,,Fairfax,VA,22032,Successful,'2017-01-13',Successful,'2017-01-13',||,'2017-01-14',0,0,1.476,-665,1.377,-622,0,0,1.155,-441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.476,-665,1.865,-1427,0,0,1.155,-441,0,0,0,0,0,0,1.319,-526,0,0,0,0,0,0
washingtondc,,Fairfax,VA,22033,Successful,'2017-01-13',Successful,'2017-01-13',||,'2017-01-14',0.931,107,1.203,-347,1.352,-677,2.999,-1999,0,0,0,0,0.939,94,1.164,-279,1.119,-229,0,0,0,0,0,0,0.734,413,0,0,1.461,-887,3.162,-2162,0,0,0,0,0,0,1.225,-384,1.37,-713,2.416,-1416,0,0,0,0
washingtondc,,Fairfax Station,VA,22039,Successful,'2017-01-13',Successful,'2017-01-13',||,'2017-01-14',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
washingtondc,,Falls Church,VA,22041,Successful,'2017-01-13',Successful,'2017-01-13',||,'2017-01-14',1.096,-123,1.224,-389,1.341,-712,0,0,2.172,-2516,0,0,1.096,-123,1.224,-389,1.238,-496,0,0,0,0,0,0,0,0,0,0,1.551,-1150,0,0,2.172,-2516,0,0,0,0,0,0,1.332,-693,0,0,0,0,0,0
